Start_Date,Start_Time,End_Date,End_Time,Location,Location_URL,Event_Type,Team1_ID,Team2_ID,Team1_Name,Team2_Name
05/20/2024,20:30,05/20/2024,21:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,6,A1,A6
05/20/2024,22:00,05/20/2024,23:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,2,5,A2,A5
05/21/2024,20:45,05/21/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,3,4,A3,A4
05/21/2024,22:15,05/21/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,18,C1,C6
05/22/2024,20:45,05/22/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,14,17,C2,C5
05/22/2024,22:15,05/22/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,15,16,C3,C4
05/23/2024,20:45,05/23/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,12,B1,B6
05/23/2024,22:15,05/23/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,8,11,B2,B5
05/24/2024,21:45,05/24/2024,23:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,24,D1,D6
05/25/2024,20:45,05/25/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,9,10,B3,B4
05/25/2024,22:15,05/25/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,20,23,D2,D5
05/27/2024,20:30,05/27/2024,21:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,5,A1,A5
05/27/2024,22:00,05/27/2024,23:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,21,22,D3,D4
05/28/2024,20:45,05/28/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,6,4,A6,A4
05/28/2024,22:15,05/28/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,2,3,A2,A3
05/29/2024,20:45,05/29/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,18,16,C6,C4
05/29/2024,22:15,05/29/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,17,C1,C5
05/30/2024,20:45,05/30/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,11,B1,B5
05/30/2024,22:15,05/30/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,14,15,C2,C3
05/31/2024,20:45,05/31/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,12,10,B6,B4
05/31/2024,22:15,05/31/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,8,9,B2,B3
06/01/2024,20:30,06/01/2024,21:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,24,22,D6,D4
06/01/2024,22:00,06/01/2024,23:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,23,D1,D5
06/03/2024,20:45,06/03/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,4,A1,A4
06/03/2024,22:15,06/03/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,20,21,D2,D3
06/04/2024,20:45,06/04/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,5,3,A5,A3
06/04/2024,22:15,06/04/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,6,2,A6,A2
06/05/2024,20:45,06/05/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,16,C1,C4
06/05/2024,22:15,06/05/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,17,15,C5,C3
06/06/2024,21:00,06/06/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,10,B1,B4
06/06/2024,22:30,06/06/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,18,14,C6,C2
06/07/2024,20:45,06/07/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,11,9,B5,B3
06/07/2024,22:15,06/07/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,12,8,B6,B2
06/08/2024,20:45,06/08/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,22,D1,D4
06/08/2024,22:15,06/08/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,23,21,D5,D3
06/10/2024,20:45,06/10/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,3,A1,A3
06/10/2024,22:15,06/10/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,24,20,D6,D2
06/11/2024,20:45,06/11/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,4,2,A4,A2
06/11/2024,22:15,06/11/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,5,6,A5,A6
06/12/2024,20:45,06/12/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,15,C1,C3
06/12/2024,22:15,06/12/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,16,14,C4,C2
06/13/2024,21:00,06/13/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,9,B1,B3
06/13/2024,22:30,06/13/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,17,18,C5,C6
06/14/2024,20:45,06/14/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,10,8,B4,B2
06/14/2024,22:15,06/14/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,11,12,B5,B6
06/15/2024,20:45,06/15/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,21,D1,D3
06/15/2024,22:15,06/15/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,22,20,D4,D2
06/17/2024,20:45,06/17/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,2,A1,A2
06/17/2024,22:15,06/17/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,23,24,D5,D6
06/18/2024,20:45,06/18/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,3,6,A3,A6
06/18/2024,22:15,06/18/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,4,5,A4,A5
06/19/2024,20:45,06/19/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,14,C1,C2
06/19/2024,22:15,06/19/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,15,18,C3,C6
06/20/2024,21:00,06/20/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,8,B1,B2
06/20/2024,22:30,06/20/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,16,17,C4,C5
06/21/2024,20:45,06/21/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,9,12,B3,B6
06/21/2024,22:15,06/21/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,10,11,B4,B5
06/22/2024,20:45,06/22/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,21,24,D3,D6
06/22/2024,22:15,06/22/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,20,D1,D2
06/24/2024,20:45,06/24/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,22,23,D4,D5
06/24/2024,22:15,06/24/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,6,A1,A6
06/25/2024,20:45,06/25/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,2,5,A2,A5
06/25/2024,22:15,06/25/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,3,4,A3,A4
06/26/2024,20:45,06/26/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,18,C1,C6
06/26/2024,22:15,06/26/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,14,17,C2,C5
06/27/2024,21:00,06/27/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,15,16,C3,C4
06/27/2024,22:30,06/27/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,12,B1,B6
06/28/2024,20:45,06/28/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,8,11,B2,B5
06/28/2024,22:15,06/28/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,9,10,B3,B4
06/29/2024,20:45,06/29/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,24,D1,D6
06/29/2024,22:15,06/29/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,20,23,D2,D5
07/01/2024,20:45,07/01/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,21,22,D3,D4
07/01/2024,22:15,07/01/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,6,4,A6,A4
07/02/2024,20:45,07/02/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,5,A1,A5
07/02/2024,22:15,07/02/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,2,3,A2,A3
07/06/2024,20:45,07/06/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,17,C1,C5
07/06/2024,22:15,07/06/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,18,16,C6,C4
07/08/2024,20:45,07/08/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,14,15,C2,C3
07/08/2024,22:15,07/08/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,11,B1,B5
07/09/2024,20:45,07/09/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,12,10,B6,B4
07/09/2024,22:15,07/09/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,8,9,B2,B3
07/10/2024,20:45,07/10/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,24,22,D6,D4
07/10/2024,22:15,07/10/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,23,D1,D5
07/11/2024,21:00,07/11/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,20,21,D2,D3
07/11/2024,22:30,07/11/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,4,A1,A4
07/12/2024,21:45,07/12/2024,23:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,5,3,A5,A3
07/13/2024,21:45,07/13/2024,23:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,6,2,A6,A2
07/22/2024,20:45,07/22/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,16,C1,C4
07/22/2024,22:15,07/22/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,17,15,C5,C3
07/23/2024,20:45,07/23/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,18,14,C6,C2
07/23/2024,22:15,07/23/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,10,B1,B4
07/25/2024,21:00,07/25/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,11,9,B5,B3
07/25/2024,22:30,07/25/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,12,8,B6,B2
07/26/2024,20:45,07/26/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,22,D1,D4
07/26/2024,22:15,07/26/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,23,21,D5,D3
07/27/2024,20:45,07/27/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,24,20,D6,D2
07/27/2024,22:15,07/27/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,3,A1,A3
07/29/2024,20:45,07/29/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,4,2,A4,A2
07/29/2024,22:15,07/29/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,5,6,A5,A6
07/30/2024,20:45,07/30/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,15,C1,C3
07/30/2024,22:15,07/30/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,16,14,C4,C2
07/31/2024,21:00,07/31/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,17,18,C5,C6
07/31/2024,22:30,07/31/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,9,B1,B3
08/01/2024,21:00,08/01/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,10,8,B4,B2
08/01/2024,22:30,08/01/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,11,12,B5,B6
08/02/2024,20:45,08/02/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,21,D1,D3
08/02/2024,22:15,08/02/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,22,20,D4,D2
08/03/2024,20:45,08/03/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,23,24,D5,D6
08/03/2024,22:15,08/03/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,1,2,A1,A2
08/05/2024,20:45,08/05/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,3,6,A3,A6
08/05/2024,22:15,08/05/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,4,5,A4,A5
08/06/2024,20:45,08/06/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,13,14,C1,C2
08/06/2024,22:15,08/06/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,15,18,C3,C6
08/07/2024,21:00,08/07/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,16,17,C4,C5
08/07/2024,22:30,08/07/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,7,8,B1,B2
08/08/2024,21:00,08/08/2024,22:15,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,9,12,B3,B6
08/08/2024,22:30,08/08/2024,23:45,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,10,11,B4,B5
08/09/2024,20:45,08/09/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,21,24,D3,D6
08/09/2024,22:15,08/09/2024,23:30,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,19,20,D1,D2
08/10/2024,20:45,08/10/2024,22:00,George S. Eccles Ice Center --- Surface 1,https://www.google.com/maps?cid=12548177465055817450,Game,22,23,D4,D5
